claim_id,section,claim_text,evidence_file,evidence_location,status,notes
M01,Architecture Overview,"Spec2Testbench implements a chained pipeline from YAML parsing to provenance reporting","spec2testbench/application/usecases/run_verification.py","report fields, provenance builder, compliance and robustness status fields; see also paper_final/main.tex architecture prose","SUPPORTED","Architectural claim kept qualitative to avoid inventing counts"
M02,Architecture Overview,"Clean Architecture is used as a separation-of-responsibilities mechanism for reproducibility","reports/consolidation_report.md","sections Scope, Files Modified Or Added, Classes Added, Main Functions Modified","SUPPORTED","Framed as implementation organization, not as a benchmark result"
M03,Specification-to-Testbench Translation,"A requirement is translated into analysis, stimulus, load, observed node, extraction route, metric, unit, and assertion","spec2testbench/domain/entities/specification.py","structured specification loading and variant metadata; corroborated by spec2testbench/application/usecases/run_verification.py metric trace construction","SUPPORTED","Method claim; expressed without asserting unsupported families are fully validated experimentally"
M04,Specification-to-Testbench Translation,"Operating-point and DC checks are used for steady-state voltage and current requirements","results/paper_metric_results.csv","rows for operating_point and quiescent_current across nominal paper campaign","SUPPORTED","Grounded by executed nominal evidence"
M05,Specification-to-Testbench Translation,"AC checks are used for gain- and frequency-related requirements","results/paper_metric_results.csv","rows for dc_gain_db and cutoff_frequency_hz across nominal paper campaign","SUPPORTED","Grounded by executed nominal evidence"
M06,Specification-to-Testbench Translation,"Transient checks are used for timing and startup-related requirements","results/paper_metric_results.csv","rows for propagation_delay, startup_amplitude, slew_rate, settling_time","SUPPORTED","Grounded by executed nominal evidence"
M07,Specification-to-Testbench Translation,"Spectral checks are used for waveform-derived frequency-domain quantities","results/paper_metric_results.csv","p19_mixer rows fundamental_frequency and thd_percent","SUPPORTED","Grounded by executed nominal evidence"
M08,Specification-to-Testbench Translation,"Differential and variation-aware checks belong to the framework contract but are not claimed here as completed robustness evidence","paper_final/manuscript_rewrite_constraints.md","Claims Forbidden on Current Evidence; canonical limitations on robustness","SUPPORTED","Must remain capability boundary wording"
M09,Simulation and Evidence Extraction,"Canonical manuscript evidence uses real ngspice execution","results/paper_campaign_summary.csv","all 28 rows simulation_mode = REAL; corroborated by reports/consolidation_report.md","SUPPORTED","Core manuscript-safe claim"
M10,Simulation and Evidence Extraction,"No mock result is scientifically eligible in the canonical paper evidence","results/final_test_results.json","mock_results_included = false; corroborated by reports/consolidation_report.md Mock Results Encountered","SUPPORTED","Use with paper campaign wording"
M11,Simulation and Evidence Extraction,"NGSPICE_MEASURE is a native extraction route used in canonical evidence","results/frozen_pilot_results_v3.csv","measurement_backend = NGSPICE_MEASURE on V2-derived rows; corroborated by results/full_ngspice_native_test_results.json measurement_backend_coverage","SUPPORTED","Direct backend evidence exists"
M12,Simulation and Evidence Extraction,"NGSPICE_WRDATA is a native extraction route validated in canonical evidence","results/wrdata_independent_comparisons.csv","2 rows with agreement = True; corroborated by reports/wrdata_end_to_end_validation.md","SUPPORTED","Limit wording to 2 validated cases"
M13,Simulation and Evidence Extraction,"PySpice is optional rather than the authoritative scientific backend","results/final_test_results.json","normal and pyspice_disabled both pass 66 unique tests","SUPPORTED","Also supported by reports/final_framework_validation.md"
M14,Simulation and Evidence Extraction,"Disabling PySpice does not convert evaluation into mock execution","results/final_test_results.json","pyspice_disabled passed summary plus mock_results_included = false","SUPPORTED","Avoid broader claims beyond tested paths"
M15,Simulation and Evidence Extraction,"Missing .measure values are preserved as NOT_EVALUATED rather than injected zeroes","reports/pilot_functional_fixes.md","case cv_020_p28_ref_high outcome and anti-false-PASS explanation","SUPPORTED","Important anti-false-PASS mechanism"
M16,Simulation and Evidence Extraction,"Non-finite values are rejected as non-evaluable measurements","tests/test_ngspice_result_backends.py","assertions for NON_FINITE_MEASURE and NOT_EVALUATED","SUPPORTED","Software evidence rather than campaign count"
M17,Simulation and Evidence Extraction,"Oscillation is validated before frequency acceptance","reports/pilot_functional_fixes.md","case cv_017_p22_c_large explanation; corroborated by spec2testbench/infrastructure/spec_checker/metric_extractor.py oscillation gating","SUPPORTED","Critical anti-false-PASS mechanism"
M18,Simulation and Evidence Extraction,"Controlled overrides are tracked with explicit provenance","tests/test_verification_pipeline.py","test_controlled_variant_override_applies_to_transient_analysis and override metadata assertions","SUPPORTED","Method safeguard claim"
M19,Simulation and Evidence Extraction,"Provenance stores case, backend, mode, status, and artifact context","artifacts/paper_campaign/20260711_094959/p04_amplifier/report.json","provenance object fields","SUPPORTED","Concrete artifact anchor available"
M20,Deterministic Decision and LLM Boundary,"The final compliance decision is deterministic and occurs after extraction and checking","spec2testbench/application/usecases/run_verification.py","compliance status assignment and metric trace flow; corroborated by docs/verdict_semantics.md","SUPPORTED","State as architecture property"
M21,Deterministic Decision and LLM Boundary,"The LLM may assist testbench formulation but does not set thresholds, backend routing, parser behavior, checker logic, or final decision","paper_final/manuscript_rewrite_constraints.md","Naming and Terminology plus Claims Forbidden sections; corroborated by absence of canonical quantitative LLM evidence in results/final_ablation_summary.json","SUPPORTED","Boundary claim framed conservatively"
M22,Deterministic Decision and LLM Boundary,"Mock simulation may exist for development, but it is not scientifically eligible evidence","tests/test_verification_pipeline.py","test_mock_explicitly_allowed_is_not_paper_eligible","SUPPORTED","Useful to state boundary clearly"
