claim_id,manuscript_location,claim_text,canonical_evidence,evidence_location,status,notes
F01,main.tex:Abstract,"Spec2Testbench distinguishes simulability from compliance.","results/paper_campaign_summary.json","run_id=20260711_094959; simulable_compliant=27; simulable_noncompliant=1",SUPPORTED,"Core paper claim"
F02,main.tex:Abstract,"The canonical nominal campaign executed 28 circuits in REAL mode with 28 successful and 28 scientifically eligible outputs.","results/paper_campaign_summary.json","total_circuits=28; real_runs=28; successful=28; paper_eligible=28",SUPPORTED,"Nominal campaign only"
F03,main.tex:Abstract,"The unique nominal noncompliant case is p04_amplifier.","results/simulability_vs_compliance.csv","row where scientific_category=SIMULABLE_NONCOMPLIANT",SUPPORTED,"Also corroborated by per-case report"
F04,main.tex:Abstract,"p04_amplifier measured dc_gain_db = -160.0000000868589 dB against a >= 0.0 dB requirement.","results/paper_metric_results.csv","row for p04_amplifier and metric dc_gain_db",SUPPORTED,"Use exact canonical value"
F05,main.tex:Abstract,"Both NGSPICE_MEASURE and NGSPICE_WRDATA are supported by executed evidence.","results/frozen_pilot_metrics_v3.json; results/wrdata_independent_comparisons.csv","pilot confusion counts; 2/2 agreement rows",SUPPORTED,"Backend support, not compliance proof"
F06,main.tex:Abstract,"PySpice-disabled execution still records real non-mock testing evidence.","results/final_test_results.json","normal and pyspice_disabled summaries; mock_results_included=false",SUPPORTED,"Software-infrastructure evidence"
F07,sections/method_revised.tex:Architecture Overview,"Spec2Testbench implements a YAML-to-report verification chain with separated responsibilities.","spec2testbench/application/usecases/run_verification.py; paper_final/sections/method_revised.tex","implementation path and assembled method text",SUPPORTED,"Implementation claim"
F08,sections/method_revised.tex:Simulation and Evidence Extraction,"Missing measures propagate as NOT_EVALUATED rather than injected zero values.","tests/test_verification_pipeline.py; spec2testbench/infrastructure/spec_checker/metric_extractor.py","anti-false-pass logic and regression tests",SUPPORTED,"Mechanism claim"
F09,sections/method_revised.tex:Deterministic Decision and LLM Boundary,"The LLM may assist testbench construction but does not control the final decision.","configs/paper_experiment.yaml; paper_final/sections/method_revised.tex","llm.enabled=false in canonical run; deterministic checker description",SUPPORTED,"Current evidence is deterministic-only"
F10,sections/experimental_methodology.tex:Benchmark and Evaluation Scope,"The local corpus is benchmark-aligned with AnalogCoder-Pro rather than provenance-verified as an official mirror.","benchmark/README.md; results/final_environment.json","local benchmark labeling and absent upstream provenance chain",PARTIALLY_SUPPORTED,"Careful wording retained"
F11,sections/experimental_methodology.tex:Execution Environment,"The canonical environment used Windows 10, Python 3.12.2, ngspice-41, and git commit 2373572107fae2e602abf0d0f918be081af09c89.","results/final_environment.json","os/python/ngspice/git fields",SUPPORTED,"Environment artifact"
F12,sections/experimental_methodology.tex:Experimental Campaigns,"The canonical nominal campaign disabled LLM usage.","configs/paper_experiment.yaml","llm.enabled=false",SUPPORTED,"Important for RQ4 boundary"
F13,sections/experimental_methodology.tex:Experimental Campaigns,"The later expanded controlled-violation campaign has 30 generated variants but only 2 effective violations.","results/final_controlled_summary.json","generated_variants=30; effective_violations=2",SUPPORTED,"Do not merge with frozen pilot"
F14,sections/results_revised.tex:RQ1,"The canonical nominal campaign provides real execution evidence across DC, AC, transient, and spectral families.","results/paper_metric_results.csv; results/paper_campaign_summary.json","metric families present in extracted evidence",SUPPORTED,"Execution evidence only"
F15,sections/results_revised.tex:RQ2,"p04_amplifier is the nominal counterexample showing SIMULABLE != COMPLIANT.","artifacts/paper_campaign/20260711_094959/p04_amplifier/report.json; results/paper_metric_results.csv","per-case report plus metric row",SUPPORTED,"Flagship counterexample"
F16,sections/results_revised.tex:RQ3,"Frozen pilot V3 achieved perfect separation on its 16-case scope.","results/frozen_pilot_metrics_v3.json","TA=8; TD=8; FA=0; FR=0; UNEVALUATED=0",SUPPORTED,"Small-scope retained pilot only"
F17,sections/results_revised.tex:RQ3,"The expanded campaign retained one false accept among two effective violations.","results/final_controlled_summary.json","effective_violations=2; detected=1; false_accepts_effective=1",SUPPORTED,"Sensitivity/limitation result"
F18,sections/results_revised.tex:RQ4,"No quantitative LLM-versus-deterministic answer is currently supported.","results/final_ablation_summary.json; configs/paper_experiment.yaml","status=PARTIAL; A2/A4 not executed; llm.enabled=false",SUPPORTED,"Pending-results table justified"
F19,main.tex:Discussion,"The benchmark uses compact pedagogical circuits with generic Level-1 models, not industrial post-layout circuits.","benchmark/README.md; sections/experimental_methodology.tex","benchmark tier description and local complexity audit",SUPPORTED,"Scope limitation"
F20,main.tex:Discussion,"Simplified variation-aware checks must not be presented as full industrial PVT validation.","results/final_robustness_metrics.json","status=NOT_EXECUTED",SUPPORTED,"Negative limitation claim"
