claim_id,manuscript_location,claim_text,current_reference,recommended_reference,support_status,audit_note
RC01,abstract,"Successful SPICE execution establishes that a circuit can be simulated, but not that it satisfies a specification.",NONE,"nagel_pederson_1973_spice; nagel_1975_spice2; results/paper_campaign_summary.csv",PARTIALLY_SUPPORTED,"The SPICE sources support what simulation is for, but the compliance distinction is demonstrated mainly by the manuscript's own canonical evidence."
RC02,method_revised.tex:Architecture Overview,"Spec2Testbench implements a YAML-to-report verification chain with separated responsibilities.",NONE,"results/paper_campaign_summary.json; spec2testbench/application/usecases/run_verification.py",SUPPORTED,"This is an implementation claim and should be tied to canonical artifacts or code, not to external bibliography."
RC03,method_revised.tex:Architecture Overview,"Clean Architecture is used as a mechanism for separation of responsibilities and reproducibility.",NONE,NONE,UNSUPPORTED,"No current citation is present, and the revised manuscript does not yet identify a verified primary source for this architectural framing."
RC04,method_revised.tex:Simulation and Evidence Extraction,"ngspice is the real execution backend used for canonical manuscript evidence.",NONE,"ngspice_manual_2026",PRIMARY_SOURCE_NEEDED,"An official ngspice source should support backend capability; the executed use in this project should still be cited to canonical artifacts."
RC05,method_revised.tex:Simulation and Evidence Extraction,"The framework supports textual .measure extraction through NGSPICE_MEASURE.",NONE,"ngspice_manual_2026",PRIMARY_SOURCE_NEEDED,"The official manual should be cited for .measure semantics."
RC06,method_revised.tex:Simulation and Evidence Extraction,"The framework supports vector export through NGSPICE_WRDATA.",NONE,"ngspice_manual_2026",PRIMARY_SOURCE_NEEDED,"The official manual should be cited for WRDATA functionality."
RC07,method_revised.tex:Simulation and Evidence Extraction,"PySpice is optional and disabling it does not turn the run into a mock simulation.",NONE,"pyspice_repo_2026; results/final_test_results.json",PARTIALLY_SUPPORTED,"PySpice documentation supports its role as a Python interface; optionality without mock fallback is primarily a project-specific implementation fact."
RC08,method_revised.tex:Simulation and Evidence Extraction,"Missing .measure values propagate as NOT_EVALUATED rather than synthetic zero.",NONE,"tests/test_ngspice_result_backends.py; reports/pilot_functional_fixes.md",SUPPORTED,"This is a software and artifact-backed claim, not a literature-backed claim."
RC09,method_revised.tex:Simulation and Evidence Extraction,"Oscillation is validated before oscillator frequency is accepted.",NONE,"reports/pilot_functional_fixes.md; spec2testbench/infrastructure/spec_checker/metric_extractor.py",SUPPORTED,"This is a project-specific anti-false-PASS mechanism backed by code and regression artifacts."
RC10,method_revised.tex:Deterministic Decision and LLM Boundary,"The final compliance decision is deterministic, and the LLM cannot modify thresholds, backend routing, parser, checker, or final decision.",NONE,"results/final_ablation_summary.json; configs/paper_experiment.yaml",SUPPORTED,"This is a boundary claim about the current implementation and executed campaign configuration."
RC11,experimental_methodology.tex:Benchmark,"The local corpus is benchmark-aligned with AnalogCoder-Pro rather than provenance-verified as an official upstream mirror.",NONE,"analogcoderpro_2025; benchmark/README.md",PARTIALLY_SUPPORTED,"The local README and specs justify the benchmark-aligned wording, but not a stronger provenance claim."
RC12,experimental_methodology.tex:Benchmark,"The repository metadata repeatedly labels the local corpus as AnalogCoder-Pro/PySpice generic Level-1 models.",NONE,"analogcoderpro_2025; testbenches/benchmark/manifest.csv; examples/benchmark_nominal_specs/*.yaml",PARTIALLY_SUPPORTED,"The model wording is supported locally; the external paper supports the named framework but not necessarily the exact local corpus."
RC13,experimental_methodology.tex:Benchmark,"The nominal benchmark spans 14 circuit families and uses DC, AC, transient, and spectral analyses.",NONE,"results/paper_campaign_summary.csv; testbenches/benchmark/manifest.csv",SUPPORTED,"This is an internal benchmark characterization claim and should cite canonical artifacts or appendix tables."
RC14,experimental_methodology.tex:Environment,"The canonical environment uses Windows 10, Python 3.12.2, and ngspice-41.",NONE,"results/final_environment.json",SUPPORTED,"This should be cited to the environment artifact, not to external bibliography."
RC15,experimental_methodology.tex:Campaigns,"The LLM ablation is partial and not yet quantitatively reportable.",NONE,"results/final_ablation_summary.json",SUPPORTED,"This is a canonical artifact claim."
RC16,results_revised.tex:RQ1,"Spec2Testbench can execute real and reproducible verification runs on 28 benchmark-aligned circuits.",NONE,"results/paper_campaign_summary.json",SUPPORTED,"This is a canonical empirical claim and should cite project evidence rather than external literature."
RC17,results_revised.tex:RQ2,"The canonical nominal campaign demonstrates SIMULABLE != COMPLIANT via p04_amplifier.",NONE,"results/paper_metric_results.csv; artifacts/paper_campaign/20260711_094959/p04_amplifier/report.json",SUPPORTED,"This is a canonical empirical claim."
RC18,results_revised.tex:RQ3,"The frozen pilot V3 achieved perfect separation on its retained 16-case scope.",NONE,"frozen_pilot_metrics_v3",PRIMARY_SOURCE_NEEDED,"The manuscript should cite the canonical frozen pilot artifact explicitly; no bibliography entry is required unless describing external context."
RC19,results_revised.tex:RQ3,"The expanded controlled-violation campaign retained one false accept among two effective violations.",NONE,"results/final_controlled_summary.json",SUPPORTED,"This is a canonical empirical claim."
RC20,results_revised.tex:Secondary Software Results,"NGSPICE_MEASURE and NGSPICE_WRDATA both operate on canonical evidence, and WRDATA agrees in two independent comparisons.",NONE,"ngspice_manual_2026; wrdata_independent_comparisons.csv",PARTIALLY_SUPPORTED,"The backend capability is an official-doc claim; the executed agreement counts are canonical artifact claims."
RC21,future_related_work_table,"AnalogCoder is a training-free LLM agent for analog circuit design via code generation.",NONE,"analogcoder_2024",PRIMARY_SOURCE_NEEDED,"Use the original paper as primary source."
RC22,future_related_work_table,"AnalogCoder-Pro unifies analog circuit generation and optimization through a multimodal LLM workflow.",NONE,"analogcoderpro_2025",PRIMARY_SOURCE_NEEDED,"Use the original paper as primary source."
RC23,future_related_work_table,"AnalogTester focuses on LLM-based automatic testbench generation for analog circuit design.",NONE,"analogtester_2025",PRIMARY_SOURCE_NEEDED,"Use the original paper as primary source."
RC24,future_related_work_table,"AutoCkt is a deep-reinforcement-learning framework for analog circuit design optimization.",NONE,"autockt_2020",PRIMARY_SOURCE_NEEDED,"Use the original paper as primary source."
RC25,future_related_work_table,"AnalogXpert incorporates circuit-design expertise into an LLM-based analog topology synthesis flow.",NONE,"analogxpert_2024",PRIMARY_SOURCE_NEEDED,"Use the original paper as primary source."
RC26,future_related_work_table,"LaMAGIC is a language-model-based approach to analog topology generation.",NONE,"lamagic_2024",PRIMARY_SOURCE_NEEDED,"Use the original paper as primary source."
RC27,future_related_work_table,"AnalogGenie is a generative engine for automatic discovery of analog circuit topologies.",NONE,"analoggenie_2025",PRIMARY_SOURCE_NEEDED,"Use the original paper as primary source."
RC28,future_related_work_table,"SPICEPilot studies AI-guided SPICE code generation and simulation.",NONE,"spicepilot_2024",PRIMARY_SOURCE_NEEDED,"Use the original paper as primary source."
RC29,future_related_work_table,"ngspice is an open-source circuit simulator supporting standard SPICE analyses.",NONE,"ngspice_manual_2026; nagel_pederson_1973_spice; nagel_1975_spice2",PRIMARY_SOURCE_NEEDED,"Prefer the official ngspice manual plus Berkeley SPICE sources."
RC30,future_related_work_table,"PySpice is a Python interface to ngspice and Xyce.",NONE,"pyspice_repo_2026",PRIMARY_SOURCE_NEEDED,"Prefer official project documentation."
RC31,future_related_work_table,"Bayesian optimization is a relevant baseline family for expensive black-box analog optimization.",NONE,"brochu_2010_bo; snoek_2012_bo; frazier_2018_bo",PRIMARY_SOURCE_NEEDED,"Use foundational Bayesian optimization references."
RC32,future_related_work_table,"PVT refers to process, voltage, and temperature variation and is central to robustness assessment.",NONE,"lefebvre_2022_pvt; patil_2023_pvt; setupkit_2025",PARTIALLY_SUPPORTED,"The concept is widely used, but the manuscript should cite a more domain-standard primary source if a strong definitional claim is made."
RC33,future_related_work_table,"LLM4EDA surveys the application of large language models across EDA workflows.",NONE,"llm4eda_2023",PRIMARY_SOURCE_NEEDED,"Use the survey as the primary source for broad LLM-in-EDA framing."
