claim_id,source_file,section,line_range,obsolete_claim,obsolete_value,replacement_value,final_evidence_file,decision,priority,reason,replacement_wording
O01,docs/spec2testbench_ieee_conference.tex,Results,,35 circuits,35,29 specifications replayed,results/final_nominal_campaign.csv,REMOVE,CRITICAL,Historical benchmark not final replay,The final replay covered 29 specifications and 14 families.
O02,archive,Results,,35/35,35/35 PASS,not claimed,results/final_nominal_campaign.csv,REMOVE,CRITICAL,Obsolete campaign,No universal pass rate is reported.
O03,archive,Results,,28/28 PASS,28/28 PASS,29 specifications with mixed outcomes,results/final_nominal_campaign.csv,REWRITE,CRITICAL,Final replay includes noncompliant and non-simulable cases,The final nominal replay was not uniformly compliant.
O04,archive,Results,,100% compliance,100%,not supported,results/final_nominal_summary.json,REMOVE,CRITICAL,No final universal compliance evidence,Compliance is reported per case.
O05,archive,PVT,,102 PVT rows,102,NOT EXECUTED,results/final_robustness_metrics.json,MOVE_TO_LIMITATIONS,CRITICAL,No final robustness study,No quantitative PVT claim is made.
O06,archive,Metrics,,Compliance Score = 1.000,1.000,not used,results/final_controlled_summary.json,REMOVE,CRITICAL,Legacy score not validated in final protocol,Compliance is represented by explicit status and metric evidence.
O07,archive,Ablation,,6 PASS / 2 RUN,6/2,PARTIAL NOT EXECUTED,results/final_ablation_summary.json,REWRITE,MAJOR,Old ablation is obsolete,The ablation study remains partial.
O08,archive,LLM,,baseline-versus-LLM,comparison,not evaluated,results/final_test_results.json,REMOVE,CRITICAL,No quantitative LLM campaign,LLM remains exploratory future work.
O09,archive,Robustness,,ROBUST PASS,pass,NOT EXECUTED,results/final_robustness_metrics.json,REMOVE,CRITICAL,No final robustness scenarios,No robust-pass claim is supported.
O10,archive,Positioning,,industrial relevance,industrial,academic pilot only,reports/final_project_completion_report.md,MOVE_TO_LIMITATIONS,CRITICAL,No industrial PDK or signoff,The evidence is limited to academic benchmark circuits.
