case_id,circuit_type,metric_name,status,measured_value,unit,expected_operator,expected_threshold,source_analysis,measurement_backend,measurement_expression_id,input_node,output_node,error,report_path
p01_amplifier,amplifier,operating_point,PASS,1.0,V,range,,OP,NGSPICE_WRDATA,OPERATING_POINT_VOLTAGE,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p01_amplifier\report.json
p01_amplifier,amplifier,dc_gain_db,PASS,-31.887382243823378,dB,>=,-700.0,AC,NGSPICE_WRDATA,AC_TRANSFER_GAIN_DB,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p01_amplifier\report.json
p01_amplifier,amplifier,quiescent_current,PASS,0.0,A,<=,0.05,OP,NGSPICE_WRDATA,QUIESCENT_CURRENT,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p01_amplifier\report.json
p02_amplifier,amplifier,operating_point,PASS,1.0,V,range,,OP,NGSPICE_WRDATA,OPERATING_POINT_VOLTAGE,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p02_amplifier\report.json
p02_amplifier,amplifier,dc_gain_db,NOT_EVALUATED,,dB,>=,-700.0,AC,NGSPICE_WRDATA,AC_TRANSFER_GAIN_DB,Vin,Vout,metric_missing: Metric 'dc_gain_db' could not be extracted from simulation,paper_final\evidence_freeze_20260724\nominal\cases\p02_amplifier\report.json
p02_amplifier,amplifier,quiescent_current,PASS,0.0,A,<=,0.05,OP,NGSPICE_WRDATA,QUIESCENT_CURRENT,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p02_amplifier\report.json
p03_amplifier,amplifier,operating_point,PASS,1.0,V,range,,OP,NGSPICE_WRDATA,OPERATING_POINT_VOLTAGE,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p03_amplifier\report.json
p03_amplifier,amplifier,dc_gain_db,PASS,-0.6353350856876573,dB,>=,-700.0,AC,NGSPICE_WRDATA,AC_TRANSFER_GAIN_DB,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p03_amplifier\report.json
p03_amplifier,amplifier,quiescent_current,PASS,0.0,A,<=,0.05,OP,NGSPICE_WRDATA,QUIESCENT_CURRENT,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p03_amplifier\report.json
p04_amplifier,amplifier,operating_point,PASS,1.0,V,range,,OP,NGSPICE_WRDATA,OPERATING_POINT_VOLTAGE,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p04_amplifier\report.json
