case_id,ground_truth_label,historical_execution_status,new_execution_status,historical_backend,new_backend,historical_metric_name,new_metric_name,historical_metric_value,new_metric_value,historical_operator,new_operator,historical_threshold,new_threshold,historical_compliance_status,new_compliance_status,historical_evaluation_outcome,new_evaluation_outcome,netlist_sha256,specification_sha256,testbench_sha256,manifest_source,cache_used,parity_status
ref_fp2_p01_amplifier,GROUND_TRUTH_COMPLIANT,SUCCESS,SUCCESS,NGSPICE_MEASURE,NGSPICE_MEASURE,dc_gain_db,dc_gain_db,-31.88738224966965,-31.88738224966965,>=,>=,-35.0,-35.0,PASS,PASS,TRUE_ACCEPT,TRUE_ACCEPT,34bb6f66e70c454b0870b7bff11eef89c6b70a807bfc13f1c186a100e9bdfb6d,f790722aea586a44e59bffbd628117e42f56a064bdfc2f505c691d5ba2f4bebc,e58d2692ef4f8b4dd74676143fa5f67f3d7fa9077d97a6dd7df7c184feb56cef,frozen_v3_reference,False,EXACT_MATCH
ref_fp2_p05_amplifier,GROUND_TRUTH_COMPLIANT,SUCCESS,SUCCESS,NGSPICE_MEASURE,NGSPICE_MEASURE,quiescent_current,quiescent_current,0.0004909874144028382,0.0004909874144028382,<=,<=,0.001,0.001,PASS,PASS,TRUE_ACCEPT,TRUE_ACCEPT,47d0f1321538a22d9464d4b55379f1c34bc2755075e86d39ee9327c2c12a48d4,ee2ea082be2a3a46b51d7f8b554b7814b04453ae54eb29fdb9308296b9ea7f5b,f776f229bc4a74c89630fdc32e2a3322a41102f14f011b3874aa779b7e95afd2,frozen_v3_reference,False,EXACT_MATCH
ref_fp2_p17_currentmirror,GROUND_TRUTH_COMPLIANT,SUCCESS,SUCCESS,NGSPICE_MEASURE,NGSPICE_MEASURE,quiescent_current,quiescent_current,0.0001999999999999999,0.0001999999999999999,within,within,0.0001..0.05,0.0001..0.05,PASS,PASS,TRUE_ACCEPT,TRUE_ACCEPT,1fabf7ca549dc5090b8245e186ed970e6f811965f90ad5b84ae5f5867956ffa2,2b41d06d998312662ca88ec3faa2eea6c6c80f93056242d26357af0479d7d9e8,e2fe2509d224cab6c824db31a3342566b9a4720c49a319b072f20678cae41181,frozen_v3_reference,False,EXACT_MATCH
ref_fp2_p16_opamp,GROUND_TRUTH_COMPLIANT,SUCCESS,SUCCESS,NGSPICE_MEASURE,NGSPICE_MEASURE,quiescent_current,quiescent_current,0.0006250000015100062,0.0006250000015100062,within,within,0.0001..0.05,0.0001..0.05,PASS,PASS,TRUE_ACCEPT,TRUE_ACCEPT,2c13a8e0aaf4730cf7fc1f228287f37342eaecc3455d9277f1b7a84ce2709c8c,2d3f717815e244a88039632ee9645c0f56d3b0b2a6e65f08bde1f9900777a515,e7f53d10ef5a7ffa600172a382a4ff5180a4fcfb7ca952bba459e130b434a312,frozen_v3_reference,False,EXACT_MATCH
ref_fp2_p20_opamp,GROUND_TRUTH_COMPLIANT,SUCCESS,SUCCESS,NGSPICE_MEASURE,NGSPICE_MEASURE,quiescent_current,quiescent_current,0.001724533004994869,0.001724533004994869,within,within,0.0005..0.05,0.0005..0.05,PASS,PASS,TRUE_ACCEPT,TRUE_ACCEPT,4be8d0cf8b361ca8adc1392c9b7d8af8694bf3a06d4c2a91600cda708c7b8339,1a4a366a1714a3057701c90f2728158f5f173ea0a22b06b280879283f7dd9f75,111ac954e226459dc41ceaa27400a3ba00d0ca241531b216c7c9c05dfcf7b94e,frozen_v3_reference,False,EXACT_MATCH
ref_fp2_p22_oscillator,GROUND_TRUTH_COMPLIANT,SUCCESS,SUCCESS,NGSPICE_MEASURE,NGSPICE_MEASURE,startup_amplitude,startup_amplitude,4.11339e-09,4.11339e-09,>=,>=,1e-12,1e-12,PASS,PASS,TRUE_ACCEPT,TRUE_ACCEPT,060c0dc5b6e4b187e05faa579f430ea19b0ad2ce490288d324c174fc2df573cb,d0eaf17d4e54e6327663d9bf99da650ee3ed68c83427e73965dc9f0a08eb6245,e94daa443e3f0f048c29bb4055eaf04950a07fed9903bd02138f31841c92e3d0,frozen_v3_reference,False,EXACT_MATCH
ref_fp2_p07_inverter,GROUND_TRUTH_COMPLIANT,SUCCESS,SUCCESS,NGSPICE_MEASURE,NGSPICE_MEASURE,operating_point,operating_point,4.933147126837077,4.933147126837077,within,within,0.5..5.1,0.5..5.1,PASS,PASS,TRUE_ACCEPT,TRUE_ACCEPT,d2846b9031cad7f8f2e941d0b7695ab692bb2ddfe353c5c371d31538541db70a,c4493ad168ea12e196ae696e5720481f9e0cd1f1c1c0885ed6a31a0360b2227a,df7cb6ec57d2480138e9d7375c07f9ee79b621633d4b420a3155147e44b7ee21,frozen_v3_reference,False,EXACT_MATCH
fp2_cv_006_p01_gain_strong,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,SUCCESS,NGSPICE_MEASURE,NGSPICE_MEASURE,dc_gain_db,dc_gain_db,-40.00000000000868,-40.00000000000868,>=,>=,-35.0,-35.0,FAIL,FAIL,TRUE_DETECTION,TRUE_DETECTION,298ea2ec7594408604d6b3204b9b7516d7bcd65717db080ccac62c0a518d520a,f790722aea586a44e59bffbd628117e42f56a064bdfc2f505c691d5ba2f4bebc,e73c8a0093a7ef645584c19790b671cf1d46a7869c6635eac417647aa0f864c5,frozen_v3_reference,False,EXACT_MATCH
fp2_cv_023_p05_current_strong,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,SUCCESS,NGSPICE_MEASURE,NGSPICE_MEASURE,quiescent_current,quiescent_current,0.004883194641745619,0.004883194641745619,<=,<=,0.001,0.001,FAIL,FAIL,TRUE_DETECTION,TRUE_DETECTION,47272e7e6e59f11222ba89664ec710a9f8c421c4898bdec3909e799166a5f8c7,ee2ea082be2a3a46b51d7f8b554b7814b04453ae54eb29fdb9308296b9ea7f5b,3a8eeca37b39b88d363d266954c8c926cab050176a6685c707c7018dc48ac334,frozen_v3_reference,False,EXACT_MATCH
fp2_cv_011_p17_current_strong,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,SUCCESS,NGSPICE_MEASURE,NGSPICE_MEASURE,quiescent_current,quiescent_current,1.999999910259551e-09,1.999999910259551e-09,within,within,0.0001..0.05,0.0001..0.05,FAIL,FAIL,TRUE_DETECTION,TRUE_DETECTION,3336525d7dcd9e48da77cdf093af33d02282ddcf43d22577b10026e816e93e28,2b41d06d998312662ca88ec3faa2eea6c6c80f93056242d26357af0479d7d9e8,be6c537deac42fc12a69e1fd0bc57c5254062498829d5e29a197f065f4afbcb8,frozen_v3_reference,False,EXACT_MATCH
