case_id,trial_id,analysis_changed,stimulus_changed,simulation_range_changed,observed_nodes_changed,backend_preference_changed,measurement_parameters_changed,semantic_equivalence,delta_classification
ref_fp2_p01_amplifier,trial_01,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p01_amplifier,trial_02,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p01_amplifier,trial_03,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p05_amplifier,trial_01,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p05_amplifier,trial_02,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p05_amplifier,trial_03,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p17_currentmirror,trial_01,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p17_currentmirror,trial_02,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p17_currentmirror,trial_03,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p16_opamp,trial_01,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p16_opamp,trial_02,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p16_opamp,trial_03,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p20_opamp,trial_01,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p20_opamp,trial_02,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p20_opamp,trial_03,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p22_oscillator,trial_01,True,False,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p22_oscillator,trial_02,True,False,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p22_oscillator,trial_03,True,False,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p07_inverter,trial_01,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p07_inverter,trial_02,True,True,True,True,True,False,True,VALID_REFINEMENT
ref_fp2_p07_inverter,trial_03,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_006_p01_gain_strong,trial_01,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_006_p01_gain_strong,trial_02,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_006_p01_gain_strong,trial_03,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_023_p05_current_strong,trial_01,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_023_p05_current_strong,trial_02,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_023_p05_current_strong,trial_03,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_011_p17_current_strong,trial_01,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_011_p17_current_strong,trial_02,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_011_p17_current_strong,trial_03,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_012_p16_bias_strong,trial_01,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_012_p16_bias_strong,trial_02,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_012_p16_bias_strong,trial_03,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_013_p20_bias_strong,trial_01,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_013_p20_bias_strong,trial_02,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_013_p20_bias_strong,trial_03,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_019_p22_amplitude_strong,trial_01,True,False,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_019_p22_amplitude_strong,trial_02,True,False,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_019_p22_amplitude_strong,trial_03,True,False,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_026_p07_output_strong,trial_01,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_026_p07_output_strong,trial_02,True,True,True,True,True,False,True,VALID_REFINEMENT
fp2_cv_026_p07_output_strong,trial_03,True,True,True,True,True,False,True,VALID_REFINEMENT
wrdata_nominal,trial_01,True,False,True,True,True,False,True,VALID_REFINEMENT
wrdata_nominal,trial_02,True,False,True,True,True,False,True,VALID_REFINEMENT
wrdata_nominal,trial_03,True,False,True,True,True,False,True,VALID_REFINEMENT
wrdata_controlled_violation,trial_01,True,False,True,True,True,False,True,VALID_REFINEMENT
wrdata_controlled_violation,trial_02,True,False,True,True,True,False,True,VALID_REFINEMENT
wrdata_controlled_violation,trial_03,True,False,True,True,True,False,True,VALID_REFINEMENT
