claim_id,claim_text,canonical_value,evidence_file,evidence_location,status,manuscript_action
C01,"Paper campaign executed 28 circuits in REAL mode","28 REAL rows; 0 MOCK; 0 RECOVERED","results/paper_campaign_summary.csv","all 28 rows in simulation_mode column = REAL; see also reports/consolidation_report.md Campaign Summary","CURRENT","KEEP"
C02,"Paper campaign contains 0 mock results","0 mock results in canonical paper campaign","reports/consolidation_report.md","section 'Mock Results Encountered'; corroborated by results/paper_campaign_summary.csv simulation_mode column","CURRENT","KEEP"
C03,"Paper campaign yields 28 scientifically eligible results","28 paper_eligible = True","results/paper_campaign_summary.csv","all 28 rows have paper_eligible True; corroborated by results/paper_campaign_summary.json global_metrics.paper_eligible_result_rate = 1.0","CURRENT","KEEP"
C04,"Paper campaign yields 27 SIMULABLE_COMPLIANT circuits","27 rows with scientific_category = SIMULABLE_COMPLIANT","results/paper_campaign_summary.csv","27 rows; corroborated by results/simulability_vs_compliance.csv","CURRENT","KEEP"
C05,"Paper campaign yields 1 SIMULABLE_NONCOMPLIANT circuit","1 row with scientific_category = SIMULABLE_NONCOMPLIANT: p04_amplifier","results/paper_campaign_summary.csv","row for p04_amplifier; corroborated by results/simulability_vs_compliance.csv","CURRENT","KEEP"
C06,"p04_amplifier is the unique SIMULABLE_NONCOMPLIANT case in the paper campaign","p04_amplifier failed dc_gain_db only","artifacts/paper_campaign/20260711_094959/p04_amplifier/report.json","failed_metrics = ['dc_gain_db']; scientific_category = SIMULABLE_NONCOMPLIANT","CURRENT","KEEP"
C07,"p04_amplifier dc_gain_db value and threshold","measured dc_gain_db = -160.0000000868589 dB; threshold >= 0.0 dB","results/paper_metric_results.csv","row where circuit_id = p04_amplifier and metric_name = dc_gain_db; corroborated by artifacts/paper_campaign/20260711_094959/p04_amplifier/metrics.json","CURRENT","KEEP"
C08,"Canonical software test count","66 unique tests; normal: 66 passed, 0 failed, 0 skipped, 1 warning; PySpice-disabled: 66 passed, 0 failed, 0 skipped, 1 warning","results/final_test_results.json","top-level unique_tests, normal, pyspice_disabled","CURRENT","KEEP"
C09,"Most recent ngspice native test artifact reports 55 tests, creating a test-count conflict","55 passed in normal mode and 55 passed with PySpice disabled in that artifact","results/full_ngspice_native_test_results.json","full_test_suite.tests_collected_or_run = 55; tests_with_pyspice_disabled.tests_collected_or_run = 55","CONFLICTED","UPDATE"
C10,"NGSPICE_MEASURE backend has direct validation evidence","Validated on real measurements and frozen pilot V3 rows","results/full_ngspice_native_test_results.json","measurement_backend_coverage rows with backend_used = NGSPICE_MEASURE and source_artifact_exists = true; corroborated by results/frozen_pilot_results_v3.csv measurement_backend = NGSPICE_MEASURE on V2-derived cases","CURRENT","KEEP"
C11,"NGSPICE_WRDATA backend has direct validation evidence","2 WRDATA cases; 2/2 independent comparisons agree; nominal PASS and controlled violation FAIL","results/wrdata_independent_comparisons.csv","2 rows with agreement = True; corroborated by reports/wrdata_end_to_end_validation.md and results/frozen_pilot_metrics_v3.json wrdata_cases = 2","CURRENT","KEEP"
C12,"Frozen pilot V3 confusion counts","TRUE_ACCEPT = 8; TRUE_DETECTION = 8; FALSE_ACCEPT = 0; FALSE_REJECT = 0; UNEVALUATED = 0","results/frozen_pilot_metrics_v3.json","top-level counts","CURRENT","KEEP"
C13,"Current larger controlled-violation campaign confusion counts","TRUE_FAIL = 1; FALSE_PASS = 1; TRUE_NON_SIMULABLE = 2; UNEVALUATED among effective violations = 0","results/final_controlled_summary.json","detected_effective_violations = 1; false_pass = 1; not_evaluated = 0; plus 2 non-simulable controls in results/controlled_violation_results_v2.csv","CURRENT","MOVE_TO_LIMITATIONS"
C14,"Conflict exists between a campaign with FALSE_ACCEPT/FALSE_PASS = 0 and a later campaign with FALSE_ACCEPT/FALSE_PASS = 1","Frozen pilot V3 has 0 false accepts; later effective controlled campaign has 1 false pass among 2 effective violations","results/frozen_pilot_metrics_v3.json","FALSE_ACCEPT = 0; contrasted with results/final_controlled_summary.json false_pass = 1","CONFLICTED","UPDATE"
C15,"Earlier controlled-violation campaign reported mass false acceptance","30 variants total; 28 FALSE_PASS; 2 TRUE_NON_SIMULABLE; 0 detected effective violations","results/controlled_violation_metrics.json","top-level metrics; corroborated by results/controlled_violation_confusion_matrix.csv","OBSOLETE","MOVE_TO_LIMITATIONS"
C16,"Real number of effective controlled violations","2 effective controlled violations, not 30 generated mutations","results/final_controlled_summary.json","effective_controlled_violations = 2; ineffective_mutations = 28","CURRENT","KEEP"
C17,"Generated mutations should not be equated with effective violations","30 total variants were generated, but only 2 were effective","results/final_controlled_summary.json","total_variants = 30; effective_controlled_violations = 2","CURRENT","KEEP"
C18,"Ablation status","PARTIAL; A2 NOT_EXECUTED; A4 NOT_EXECUTED; llm_included = false","results/final_ablation_summary.json","top-level status fields","CURRENT","MOVE_TO_LIMITATIONS"
C19,"Robustness status","NOT_EXECUTED","results/final_robustness_metrics.json","top-level status = NOT_EXECUTED","CURRENT","MOVE_TO_LIMITATIONS"
C20,"Quantitative LLM comparison status","No quantitative LLM campaign result in canonical evidence","results/final_ablation_summary.json","llm_included = false; corroborated by paper_final/main.tex and reports/consolidation_report.md Remaining Limits","CURRENT","MOVE_TO_LIMITATIONS"
C21,"Current manuscript abstract and experimental evidence are stale about the frozen pilot composition","manuscript says 7 compliant + 7 controlled violations + 2 WRDATA cases; canonical frozen pilot V3 counts are 8 TRUE_ACCEPT + 8 TRUE_DETECTION","paper_final/main.tex","abstract and section Experimental Evidence; contrasted with results/frozen_pilot_metrics_v3.json","CONFLICTED","UPDATE"
C22,"Current manuscript says the nominal 28-circuit replay remains future work, but the canonical paper campaign already exists","28-circuit paper campaign was executed on 20260711_094959","paper_final/main.tex","abstract final sentence; contrasted with results/paper_campaign_summary.json run_id = 20260711_094959","CONFLICTED","UPDATE"
