case_id,circuit_type,execution_status,simulation_mode,compliance_status,scientific_category,scientifically_eligible,measurement_backend,overall_verdict,terminal_status,failure_kind,metric_count,failed_metric_count,not_evaluated_metric_count,report_path,exit_code
p01_amplifier,amplifier,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,MIXED,PASS,PASS,,3,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p01_amplifier\report.json,0
p02_amplifier,amplifier,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,True,MIXED,RUN,RUN,metric_missing,3,0,1,paper_final\evidence_freeze_20260724\nominal\cases\p02_amplifier\report.json,1
p03_amplifier,amplifier,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,MIXED,PASS,PASS,,3,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p03_amplifier\report.json,0
p04_amplifier,amplifier,SUCCESS,REAL,FAIL,SIMULABLE_NONCOMPLIANT,True,MIXED,FAIL,FAIL,metric_out_of_spec,3,1,0,paper_final\evidence_freeze_20260724\nominal\cases\p04_amplifier\report.json,1
p05_amplifier,amplifier,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,MIXED,PASS,PASS,,3,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p05_amplifier\report.json,0
p06_inverter,amplifier,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,NGSPICE_MEASURE,PASS,PASS,,2,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p06_inverter\report.json,0
p07_inverter,amplifier,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,NGSPICE_MEASURE,PASS,PASS,,2,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p07_inverter\report.json,0
p08_currentmirror,current_mirror,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,True,NGSPICE_MEASURE,RUN,RUN,metric_missing,2,0,1,paper_final\evidence_freeze_20260724\nominal\cases\p08_currentmirror\report.json,1
p09_comparator,comparator,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,NGSPICE_MEASURE,PASS,PASS,,1,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p09_comparator\report.json,0
p10_lowpass,low_pass_filter,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,NGSPICE_WRDATA,PASS,PASS,,1,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p10_lowpass\report.json,0
p11_highpass,high_pass_filter,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,True,NGSPICE_WRDATA,RUN,RUN,metric_missing,1,0,1,paper_final\evidence_freeze_20260724\nominal\cases\p11_highpass\report.json,1
p12_bandpass,band_pass_filter,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,NGSPICE_WRDATA,PASS,PASS,,1,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p12_bandpass\report.json,0
p13_bandstop,notch_filter,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,True,NGSPICE_WRDATA,RUN,RUN,metric_missing,1,0,1,paper_final\evidence_freeze_20260724\nominal\cases\p13_bandstop\report.json,1
p14_amplifier,amplifier,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,MIXED,PASS,PASS,,3,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p14_amplifier\report.json,0
p15_amplifier,amplifier,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,MIXED,PASS,PASS,,3,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p15_amplifier\report.json,0
p16_opamp,opamp,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,True,MIXED,RUN,RUN,metric_missing,3,0,1,paper_final\evidence_freeze_20260724\nominal\cases\p16_opamp\report.json,1
p17_currentmirror,current_mirror,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,True,NGSPICE_MEASURE,RUN,RUN,metric_missing,2,0,1,paper_final\evidence_freeze_20260724\nominal\cases\p17_currentmirror\report.json,1
p18_opamp,opamp,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,True,MIXED,RUN,RUN,metric_missing,3,0,1,paper_final\evidence_freeze_20260724\nominal\cases\p18_opamp\report.json,1
p19_mixer,mixer,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,NGSPICE_MEASURE,PASS,PASS,,2,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p19_mixer\report.json,0
p20_opamp,opamp,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,True,MIXED,RUN,RUN,metric_missing,3,0,1,paper_final\evidence_freeze_20260724\nominal\cases\p20_opamp\report.json,1
p21_opamp,opamp,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,True,MIXED,RUN,RUN,metric_missing,3,0,1,paper_final\evidence_freeze_20260724\nominal\cases\p21_opamp\report.json,1
p22_oscillator,oscillator,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,True,NGSPICE_WRDATA,RUN,RUN,metric_missing,2,0,1,paper_final\evidence_freeze_20260724\nominal\cases\p22_oscillator\report.json,1
p23_oscillator,oscillator,SUCCESS,REAL,FAIL,SIMULABLE_NONCOMPLIANT,True,NGSPICE_WRDATA,FAIL,FAIL,metric_missing,2,1,1,paper_final\evidence_freeze_20260724\nominal\cases\p23_oscillator\report.json,1
p24_integrator,opamp_integrator,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,NGSPICE_MEASURE,PASS,PASS,,2,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p24_integrator\report.json,0
p25_differentiator,opamp_differentiator,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,NGSPICE_MEASURE,PASS,PASS,,1,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p25_differentiator\report.json,0
p26_adder,composite,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,NGSPICE_MEASURE,PASS,PASS,,1,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p26_adder\report.json,0
p27_subtractor,composite,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,NGSPICE_MEASURE,PASS,PASS,,1,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p27_subtractor\report.json,0
p28_schmitt,schmitt_trigger,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,True,MIXED,PASS,PASS,,1,0,0,paper_final\evidence_freeze_20260724\nominal\cases\p28_schmitt\report.json,0
